ENERGY         |GRAD_NORM|    ITERATIONS     RETURN_CODE
4.903458       0.000249       1740           EPSF
5.034891       0.000238       684            EPSF
5.169328       0.000380       777            EPSF
5.302642       0.000277       2528           EPSF
5.430816       0.000309       1261           EPSF
5.550042       0.000267       841            EPSF
5.656820       0.000256       858            EPSF
5.748054       0.000264       2477           EPSF
5.821146       0.000297       1010           EPSF
5.874081       0.000462       920            EPSF
5.905500       0.000269       845            EPSF
5.914742       0.000316       1044           EPSF
5.901883       0.000283       804            EPSF
5.867731       0.000266       948            EPSF
5.813804       0.000264       4279           EPSF
5.742287       0.000138       1043           EPSF
5.655962       0.000218       3917           EPSF
5.558119       0.000092       913            EPSG
5.452464       0.000105       776            EPSF
5.343013       0.000088       1068           EPSG
5.233984       0.000158       1071           EPSF
5.129698       0.000082       1133           EPSG
5.034487       0.000095       745            EPSG
4.952604       0.000085       1329           EPSG
4.888156       0.000062       919            EPSG
4.845039       0.000093       740            EPSG
4.826894       0.000082       1908           EPSG
4.837062       0.000084       768            EPSG
4.878559       0.000081       943            EPSG
4.954055       0.000098       2008           EPSG
5.065852       0.000088       711            EPSG
5.215879       0.000097       724            EPSG
5.405672       0.000091       1466           EPSG
5.636375       0.000078       1021           EPSG
5.908718       0.000091       1134           EPSG
6.223012       0.000089       1128           EPSG
6.579131       0.000096       6584           EPSG
6.976496       0.000082       1003           EPSG
7.414056       0.000086       1186           EPSG
7.890265       0.000095       1580           EPSG
8.403065       0.000066       2221           EPSG
8.949875       0.000074       831            EPSG
9.527584       0.000089       4061           EPSG
10.132570      0.000076       3314           EPSG
10.760739      0.000099       1499           EPSG
11.407602      0.000074       6444           EPSG
12.068398      0.000095       2556           EPSG
12.738250      0.000090       3348           EPSG
13.412368      0.000099       2043           EPSG
14.086270      0.000068       1305           EPSG
14.755994      0.000073       1271           EPSG
15.418284      0.000094       2117           EPSG
16.070702      0.000096       1326           EPSG
16.711683      0.000093       1249           EPSG
17.340491      0.000094       1960           EPSG
17.957128      0.000095       2102           EPSG
18.562190      0.000172       3206           EPSF
19.156699      0.000079       1768           EPSG
19.741932      0.000079       1644           EPSG
20.319248      0.000092       2567           EPSG
20.889926      0.000099       2846           EPSG
21.454999      0.000097       1317           EPSG
22.015060      0.000092       3117           EPSG
22.570009      0.000097       2104           EPSG
23.118593      0.000091       2535           EPSG
23.657414      0.000092       6462           EPSG
24.178176      0.000070       5792           EPSG
24.658182      0.000087       4735           EPSG
25.018219      0.000068       6772           EPSG
25.005986      0.000097       7043           EPSG
24.674698      0.000098       8406           EPSG
24.268616      0.000093       4015           EPSG
23.846404      0.000090       2845           EPSG
23.424156      0.000098       4344           EPSG
23.007969      0.000072       4828           EPSG
22.600665      0.000092       2023           EPSG
22.203705      0.000098       2765           EPSG
21.817867      0.000096       5711           EPSG
21.443518      0.000086       1388           EPSG
21.080727      0.000098       1636           EPSG
20.729316      0.000080       9682           EPSG
20.388863      0.000077       2692           EPSG
20.058694      0.000096       6197           EPSG
19.737840      0.000087       4635           EPSG
19.424993      0.000098       2749           EPSG
19.118429      0.000097       5471           EPSG
18.815919      0.000073       1383           EPSG
18.514612      0.000100       3195           EPSG
18.210902      0.000091       5506           EPSG
17.900285      0.000085       2741           EPSG
17.577260      0.000073       4995           EPSG
17.235374      0.000098       3625           EPSG
16.867727      0.000095       2393           EPSG
16.468507      0.000089       3517           EPSG
16.036179      0.000100       2586           EPSG
15.577162      0.000078       2735           EPSG
15.105618      0.000092       2244           EPSG
14.637992      0.000086       4931           EPSG
14.188076      0.000092       1513           EPSG
13.765826      0.000076       1736           EPSG
